name,date (JD),x (AU),y (AU),z (AU),vx (AU/yr),vy (AU/yr),vz (AU/yr),mass (M_sun),radius (AU)
Jupiter,2454832.5,2.728890047149288,-4.325054471401853,-0.04311147112570871,2.2992510729956455,1.602988760977209,-0.058094113329608385,0.0009542483660130719,0.0004673128342245989
Jupiter,2455197.5,4.509063428061618,-2.166482192583232,-0.09190942796554223,1.1604954539835197,2.617585613144007,-0.03684027296492267,0.0009542483660130719,0.0004673128342245989
Jupiter,2455562.5,4.906127628641642,0.6485254713747479,-0.11248277592805,-0.3954437369722196,2.865593777030482,-0.0030669267815813823,0.0009542483660130719,0.0004673128342245989
Jupiter,2455927.5,3.755864951551288,3.25753803429493,-0.09757627378320773,-1.8407957140191546,2.2152538647981976,0.03199519092136972,0.0009542483660130719,0.0004673128342245989
Jupiter,2456293.5,1.425267608829066,4.858554342878719,-0.05207190083003959,-2.680416489601498,0.9076976273890787,0.05621212530503179,0.0009542483660130719,0.0004673128342245989
Jupiter,2456658.5,-1.330796741555186,5.018726048322568,0.008935647801077915,-2.6997648439629955,-0.576068486338112,0.06282577063453625,0.0009542483660130719,0.0004673128342245989
Jupiter,2457023.5,-3.729567733577366,3.794115177956197,0.0676976730467376,-2.000329327912172,-1.8034805349270009,0.05225970226552183,0.0009542483660130719,0.0004673128342245989
Jupiter,2457388.5,-5.176017821120232,1.59016225817868,0.1092164512626115,-0.8427361228447884,-2.5069901282231717,0.02927731144618746,0.0009542483660130719,0.0004673128342245989
Jupiter,2457754.5,-5.359733649091082,-1.012670956022514,0.1241357379137666,0.47909942704734415,-2.580592847745556,-6.144850911110846e-07,0.0009542483660130719,0.0004673128342245989
Jupiter,2458119.5,-4.261270549787655,-3.367325322585891,0.1093344545676866,1.6772820357265708,-2.0344054340088262,-0.02907386104725024,0.0009542483660130719,0.0004673128342245989
Jupiter,2458484.5,-2.134292198179379,-4.905279750261199,0.06812904063805554,2.4962260125590485,-0.9704443240684253,-0.051821305220307375,0.0009542483660130719,0.0004673128342245989
Jupiter,2458849.5,0.5261470562231202,-5.201022508400064,0.009830503792617417,2.7114970938216074,0.4079351625699364,-0.062369082131356585,0.0009542483660130719,0.0004673128342245989
Jupiter,2459215.5,3.041479793878051,-4.088163501891387,-0.05106843621759697,2.180003197053164,1.7770466949778447,-0.05617137844340674,0.0009542483660130719,0.0004673128342245989
Jupiter,2459580.5,4.658081981597312,-1.794562404800887,-0.09676268523921197,0.9588546176557401,2.704320534994461,-0.032690292399163816,0.0009542483660130719,0.0004673128342245989
Jupiter,2459945.5,4.838224548570248,1.045236640793527,-0.1125883922610754,-0.6148863289559493,2.8266022613099397,0.002020032660598349,0.0009542483660130719,0.0004673128342245989
Jupiter,2460310.5,3.493170425349208,3.55504313185473,-0.09292065985813885,-2.0000526615084424,2.0634961182859124,0.03616254071373395,0.0009542483660130719,0.0004673128342245989
Jupiter,2460676.5,1.056033545576702,4.971452162023883,-0.04427806378454757,-2.7307084944576565,0.7029112339232497,0.05816881398076024,0.0009542483660130719,0.0004673128342245989
Saturn,2451544.5,6.408556035505925,6.568042752621957,-0.3691272880681217,-1.5671199172228845,1.4215496737239375,0.03747821277516001,0.00028572146807440927,0.0003892379679144385
Saturn,2451910.5,4.68575899294591,7.809967981291948,-0.3222342528736165,-1.8571868652088055,1.0452293877591243,0.05561079335814236,0.00028572146807440927,0.0003892379679144385
Saturn,2452275.5,2.722761645500582,8.640072858679936,-0.2586067276118538,-2.0541294077568115,0.6077208156694426,0.07115193720401594,0.00028572146807440927,0.0003892379679144385
