frame,pos_x,pos_y,pos_z,size_x,size_y,size_z,center_of_mass_x,center_of_mass_y,mass,center_of_mass_z
1,12.5,87.5,0,12.5,12.5,12.5,0,0,0,0
1,12.5,75,12.5,12.5,12.5,12.5,22.0403,85.172,24.8006,4
1,0,87.5,12.5,12.5,12.5,12.5,0,0,0,0
1,12.5,87.5,12.5,12.5,12.5,12.5,0,0,0,0
1,0,50,25,12.5,12.5,12.5,0,0,0,0
1,12.5,50,25,12.5,12.5,12.5,0,0,0,0
1,0,62.5,25,12.5,12.5,12.5,0,0,0,0
1,0,50,37.5,12.5,12.5,12.5,0,0,0,0
1,12.5,62.5,25,12.5,12.5,12.5,21.8635,70.2769,30.5298,7
1,12.5,50,37.5,12.5,12.5,12.5,0,0,0,0
1,0,62.5,37.5,12.5,12.5,12.5,0,0,0,0
1,12.5,62.5,37.5,12.5,12.5,12.5,0,0,0,0
1,0,75,25,12.5,12.5,12.5,0,0,0,0
1,12.5,75,25,12.5,12.5,12.5,0,0,0,0
1,0,87.5,25,12.5,12.5,12.5,0,0,0,0
1,0,75,37.5,12.5,12.5,12.5,0,0,0,0
1,12.5,87.5,25,12.5,12.5,12.5,18.0768,93.0411,35.0082,5
1,12.5,75,37.5,12.5,12.5,12.5,0,0,0,0
1,0,87.5,37.5,12.5,12.5,12.5,5.15901,90.0671,43.7957,3
1,12.5,87.5,37.5,12.5,12.5,12.5,0,0,0,0
1,50,50,25,12.5,12.5,12.5,0,0,0,0
1,62.5,50,25,12.5,12.5,12.5,0,0,0,0
1,50,62.5,25,12.5,12.5,12.5,59.0137,64.9143,27.1509,4
1,50,50,37.5,12.5,12.5,12.5,0,0,0,0
1,62.5,62.5,25,12.5,12.5,12.5,0,0,0,0
1,62.5,50,37.5,12.5,12.5,12.5,0,0,0,0
1,50,62.5,37.5,12.5,12.5,12.5,58.8407,72.0974,48.0785,3
1,62.5,62.5,37.5,12.5,12.5,12.5,0,0,0,0
1,75,50,25,12.5,12.5,12.5,0,0,0,0
1,87.5,50,25,12.5,12.5,12.5,93.7755,55.2066,31.9146,2
1,75,62.5,25,12.5,12.5,12.5,84.1681,65.8806,25.9994,3
1,75,50,37.5,12.5,12.5,12.5,0,0,0,0
1,87.5,62.5,25,12.5,12.5,12.5,0,0,0,0
