frame,pos_x,pos_y,pos_z,size_x,size_y,size_z,center_of_mass_x,center_of_mass_y,mass,center_of_mass_z
1,-0.197399,0.96395,-0.00278156,0.00275195,0.0030755,0.00198933,0,0,0,0
1,-0.197399,0.960874,-0.000792223,0.00275195,0.0030755,0.00198933,-0.195832,0.963487,-5.12078e-05,3.00251e-06
1,-0.194647,0.96395,-0.00278156,0.00275195,0.0030755,0.00198933,0,0,0,0
1,-0.194647,0.960874,-0.000792223,0.00275195,0.0030755,0.00198933,-0.19428,0.961413,-0.000233814,3.69382e-08
1,-0.197399,0.96395,-0.000792223,0.00275195,0.0030755,0.00198933,0,0,0,0
1,-0.194647,0.96395,-0.000792223,0.00275195,0.0030755,0.00198933,0,0,0,0
2,-1.37269,-1.2092,-1.01623,2.79344,3.16889,2.03332,3.21929e-07,4.32196e-06,-3.70983e-08,1.00001
2,-1.37269,-1.2092,-1.01623,1.39672,1.58445,1.01666,1.30116e-09,5.67126e-09,-6.20997e-11,1
2,0.0240305,-1.2092,-1.01623,1.39672,1.58445,1.01666,0,0,0,0
2,-1.37269,0.375244,-1.01623,1.39672,1.58445,1.01666,-0.212893,0.959667,-5.33643e-05,3.03945e-06
2,-1.37269,-1.2092,0.000429576,1.39672,1.58445,1.01666,-0.37269,-0.209201,0.0170875,1.65963e-07
2,0.0240305,0.375244,-1.01623,1.39672,1.58445,1.01666,0.420751,0.586103,-0.0162284,2.44696e-06
2,0.0240305,-1.2092,0.000429576,1.39672,1.58445,1.01666,0,0,0,0
2,-1.37269,0.375244,0.000429576,1.39672,1.58445,1.01666,0,0,0,0
2,0.0240305,0.375244,0.000429576,1.39672,1.58445,1.01666,0,0,0,0
2,-1.37269,0.375244,-1.01623,0.69836,0.792223,0.508329,0,0,0,0
2,-0.67433,0.375244,-1.01623,0.69836,0.792223,0.508329,0,0,0,0
2,-1.37269,1.16747,-1.01623,0.69836,0.792223,0.508329,0,0,0,0
2,-1.37269,0.375244,-0.507899,0.69836,0.792223,0.508329,0,0,0,0
2,-0.67433,1.16747,-1.01623,0.69836,0.792223,0.508329,0,0,0,0
2,-0.67433,0.375244,-0.507899,0.69836,0.792223,0.508329,-0.212893,0.959667,-5.33643e-05,3.03945e-06
2,-1.37269,1.16747,-0.507899,0.69836,0.792223,0.508329,0,0,0,0
2,-0.67433,1.16747,-0.507899,0.69836,0.792223,0.508329,0,0,0,0
2,-0.67433,0.375244,-0.507899,0.34918,0.396111,0.254164,0,0,0,0
2,-0.32515,0.375244,-0.507899,0.34918,0.396111,0.254164,0,0,0,0
2,-0.67433,0.771355,-0.507899,0.34918,0.396111,0.254164,0,0,0,0
2,-0.67433,0.375244,-0.253735,0.34918,0.396111,0.254164,0,0,0,0
2,-0.32515,0.771355,-0.507899,0.34918,0.396111,0.254164,0,0,0,0
2,-0.32515,0.375244,-0.253735,0.34918,0.396111,0.254164,0,0,0,0
2,-0.67433,0.771355,-0.253735,0.34918,0.396111,0.254164,0,0,0,0
2,-0.32515,0.771355,-0.253735,0.34918,0.396111,0.254164,-0.212893,0.959667,-5.33643e-05,3.03945e-06
2,-0.32515,0.771355,-0.253735,0.17459,0.198056,0.127082,0,0,0,0
2,-0.15056,0.771355,-0.253735,0.17459,0.198056,0.127082,0,0,0,0
2,-0.32515,0.969411,-0.253735,0.17459,0.198056,0.127082,0,0,0,0
2,-0.32515,0.771355,-0.126653,0.17459,0.198056,0.127082,-0.212893,0.959667,-5.33643e-05,3.03945e-06
2,-0.15056,0.969411,-0.253735,0.17459,0.198056,0.127082,0,0,0,0
2,-0.15056,0.771355,-0.126653,0.17459,0.198056,0.127082,0,0,0,0
2,-0.32515,0.969411,-0.126653,0.17459,0.198056,0.127082,0,0,0,0
2,-0.15056,0.969411,-0.126653,0.17459,0.198056,0.127082,0,0,0,0
2,-0.32515,0.771355,-0.126653,0.087295,0.0990278,0.0635411,0,0,0,0
2,-0.237855,0.771355,-0.126653,0.087295,0.0990278,0.0635411,0,0,0,0
2,-0.32515,0.870383,-0.126653,0.087295,0.0990278,0.0635411,0,0,0,0
2,-0.32515,0.771355,-0.0631115,0.087295,0.0990278,0.0635411,0,0,0,0
2,-0.237855,0.870383,-0.126653,0.087295,0.0990278,0.0635411,0,0,0,0
2,-0.237855,0.771355,-0.0631115,0.087295,0.0990278,0.0635411,0,0,0,0
2,-0.32515,0.870383,-0.0631115,0.087295,0.0990278,0.0635411,0,0,0,0
2,-0.237855,0.870383,-0.0631115,0.087295,0.0990278,0.0635411,-0.212893,0.959667,-5.33643e-05,3.03945e-06
2,-0.237855,0.870383,-0.0631115,0.0436475,0.0495139,0.0317706,0,0,0,0
2,-0.194207,0.870383,-0.0631115,0.0436475,0.0495139,0.0317706,0,0,0,0
2,-0.237855,0.919897,-0.0631115,0.0436475,0.0495139,0.0317706,0,0,0,0
2,-0.237855,0.870383,-0.031341,0.0436475,0.0495139,0.0317706,0,0,0,0
2,-0.194207,0.919897,-0.0631115,0.0436475,0.0495139,0.0317706,0,0,0,0
2,-0.194207,0.870383,-0.031341,0.0436475,0.0495139,0.0317706,0,0,0,0
2,-0.237855,0.919897,-0.031341,0.0436475,0.0495139,0.0317706,-0.212893,0.959667,-5.33643e-05,3.03945e-06
2,-0.194207,0.919897,-0.031341,0.0436475,0.0495139,0.0317706,0,0,0,0
2,-0.237855,0.919897,-0.031341,0.0218238,0.024757,0.0158853,0,0,0,0
2,-0.216031,0.919897,-0.031341,0.0218238,0.024757,0.0158853,0,0,0,0
2,-0.237855,0.944654,-0.031341,0.0218238,0.024757,0.0158853,0,0,0,0
2,-0.237855,0.919897,-0.0154557,0.0218238,0.024757,0.0158853,0,0,0,0
2,-0.216031,0.944654,-0.031341,0.0218238,0.024757,0.0158853,0,0,0,0
2,-0.216031,0.919897,-0.0154557,0.0218238,0.024757,0.0158853,0,0,0,0
2,-0.237855,0.944654,-0.0154557,0.0218238,0.024757,0.0158853,0,0,0,0
2,-0.216031,0.944654,-0.0154557,0.0218238,0.024757,0.0158853,-0.212893,0.959667,-5.33643e-05,3.03945e-06
2,-0.216031,0.944654,-0.0154557,0.0109119,0.0123785,0.00794264,0,0,0,0
2,-0.205119,0.944654,-0.0154557,0.0109119,0.0123785,0.00794264,0,0,0,0
2,-0.216031,0.957033,-0.0154557,0.0109119,0.0123785,0.00794264,0,0,0,0
2,-0.216031,0.944654,-0.00751306,0.0109119,0.0123785,0.00794264,0,0,0,0
2,-0.205119,0.957033,-0.0154557,0.0109119,0.0123785,0.00794264,0,0,0,0
2,-0.205119,0.944654,-0.00751306,0.0109119,0.0123785,0.00794264,0,0,0,0
2,-0.216031,0.957033,-0.00751306,0.0109119,0.0123785,0.00794264,-0.212893,0.959667,-5.33643e-05,3.03945e-06
2,-0.205119,0.957033,-0.00751306,0.0109119,0.0123785,0.00794264,0,0,0,0
2,-0.216031,0.957033,-0.00751306,0.00545594,0.00618924,0.00397132,0,0,0,0
2,-0.210575,0.957033,-0.00751306,0.00545594,0.00618924,0.00397132,0,0,0,0
2,-0.216031,0.963222,-0.00751306,0.00545594,0.00618924,0.00397132,0,0,0,0
2,-0.216031,0.957033,-0.00354174,0.00545594,0.00618924,0.00397132,-0.212893,0.959667,-5.33643e-05,3.03945e-06
2,-0.210575,0.963222,-0.00751306,0.00545594,0.00618924,0.00397132,0,0,0,0
2,-0.210575,0.957033,-0.00354174,0.00545594,0.00618924,0.00397132,0,0,0,0
2,-0.216031,0.963222,-0.00354174,0.00545594,0.00618924,0.00397132,0,0,0,0
2,-0.210575,0.963222,-0.00354174,0.00545594,0.00618924,0.00397132,0,0,0,0
2,-0.216031,0.957033,-0.00354174,0.00272797,0.00309462,0.00198566,0,0,0,0
2,-0.213303,0.957033,-0.00354174,0.00272797,0.00309462,0.00198566,0,0,0,0
2,-0.216031,0.960127,-0.00354174,0.00272797,0.00309462,0.00198566,0,0,0,0
2,-0.216031,0.957033,-0.00155608,0.00272797,0.00309462,0.00198566,0,0,0,0
2,-0.213303,0.960127,-0.00354174,0.00272797,0.00309462,0.00198566,0,0,0,0
2,-0.213303,0.957033,-0.00155608,0.00272797,0.00309462,0.00198566,-0.212893,0.959667,-5.33643e-05,3.03945e-06
2,-0.216031,0.960127,-0.00155608,0.00272797,0.00309462,0.00198566,0,0,0,0
2,-0.213303,0.960127,-0.00155608,0.00272797,0.00309462,0.00198566,0,0,0,0
2,-0.213303,0.957033,-0.00155608,0.00136398,0.00154731,0.00099283,0,0,0,0
2,-0.211939,0.957033,-0.00155608,0.00136398,0.00154731,0.00099283,0,0,0,0
2,-0.213303,0.95858,-0.00155608,0.00136398,0.00154731,0.00099283,0,0,0,0
2,-0.213303,0.957033,-0.000563254,0.00136398,0.00154731,0.00099283,0,0,0,0
2,-0.211939,0.95858,-0.00155608,0.00136398,0.00154731,0.00099283,0,0,0,0
2,-0.211939,0.957033,-0.000563254,0.00136398,0.00154731,0.00099283,-0.210835,0.957873,-0.000211459,3.69382e-08
2,-0.213303,0.95858,-0.000563254,0.00136398,0.00154731,0.00099283,-0.212918,0.95969,-5.14194e-05,3.00251e-06
2,-0.211939,0.95858,-0.000563254,0.00136398,0.00154731,0.00099283,0,0,0,0
3,-1.36324,-1.23179,-1.0151,2.76715,3.18738,2.02948,2.3182e-07,4.339e-06,-3.48551e-08,1.00001
3,-1.36324,-1.23179,-1.0151,1.38357,1.59369,1.01474,0,0,0,0
3,0.0203391,-1.23179,-1.0151,1.38357,1.59369,1.01474,0,0,0,0
3,-1.36324,0.361902,-1.0151,1.38357,1.59369,1.01474,0,0,0,0
3,-1.36324,-1.23179,-0.000363878,1.38357,1.59369,1.01474,-5.77515e-08,-2.71062e-08,2.26154e-09,1
3,0.0203391,0.361902,-1.0151,1.38357,1.59369,1.01474,0.403914,0.597359,-0.0151023,2.44696e-06
3,0.0203391,-1.23179,-0.000363878,1.38357,1.59369,1.01474,0,0,0,0
